ImagePath,Type
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033319.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030823.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028730.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027299.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032444.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026585.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027354.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031088.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029435.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028224.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028316.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033884.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027501.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0029006.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030910.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0029171.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0034028.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032851.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031499.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033929.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031924.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025724.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033603.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025670.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027089.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032897.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025943.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029679.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031906.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027225.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027821.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032980.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025998.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032204.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026235.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025402.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025654.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026102.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028797.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028431.jpg,vasc
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033243.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026574.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030587.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026410.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033905.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032969.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031863.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025231.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027298.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029838.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025257.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031146.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031456.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029449.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024762.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030544.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031336.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027955.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028299.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031451.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025551.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025741.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031666.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033943.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033788.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032077.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030158.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032009.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0034318.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0029303.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032814.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031718.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030091.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033333.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032999.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031289.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027010.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029668.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025346.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031814.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029581.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029595.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028769.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032550.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028102.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031107.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031371.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027278.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033117.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0034288.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027796.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029605.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027401.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029995.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025147.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028180.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0034073.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026535.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027758.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026612.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032058.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0034249.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031618.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026706.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030590.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032126.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028092.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024480.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028625.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027840.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024907.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033369.jpg,mel
